time	0h	0h	0h	0h	0h	0h	0h	0h	0h	4h	4h	4h	4h	4h	4h	4h	4h	12h	12h	12h	12h	12h	12h	12h	12h	12h	24h	24h	24h	24h	24h	24h	24h	24h
treatment	RT	RT	RT	RT	C	C	C	C	C	RT	RT	RT	RT	C	C	C	C	RT	RT	RT	RT	RT	C	C	C	C	RT	RT	RT	RT	C	C	C	C
label	RT 0HR 1_001	RT 0HR 2_002	RT 0HR 3_003	RT 0HR 4_004	30 C 0HR 1_005	30 C 0HR 2_006	30 C 0HR 3_007	30 C OHR 4_008	30 C OHR 5_009	RT 4HR 1_010	RT 4HR 2_011	RT 4HR 3_012	RT 4HR 4_013	30 C 4 HR 4_017	30 C 4HR 1_014	30 C 4HR 2_015	30 C 4HR 3_016	RT 12 HR 1_018	RT 12 HR 2_019	RT 12 HR 3_020	RT 12 HR 4_021	RT 12 HR 5_022	30 C 12 HR 1_023	30 C 12 HR 2_024	30 C 12 HR 3_025	30 C 12 HR 4_026	RT 24 HR 3_029	RT 24 HR 4_030	RT 24HR 1_027	RT 24HR 2_028	30 C 24HR 1_031	30 C 24HR 2_032	30 C 24HR 3_033	30 C 24HR 4_034
zymosterol	0.999656571	0.620669745	0.042033185	0.938200104	0.364555686	0.022094132	0.899561049	0.601323751	0.269048459	0.430607445	0.281390878	0.018184994	0.056198123	0.721991609	0.299353872	0.157902847	0.076582137	0.883938987	0.403119302	0.489876309	0.579933031	0.269613006	0.978192253	0.342081686	0.502940645	0.543637841	0.654142985	0.514797102	0.787714383	0.687676286	0.117570324	0.818744361	0.425593652	0.673911662
xylulose NIST	0.732645723	0.986768882	0.238639446	0.425466437	0.459812771	0.510113528	0.040759082	0.15282482	0.79240713	0.140330158	0.464890847	0.119817075	0.560043666	0.68190572	0.518171712	0.085963642	0.0268425	0.216047013	0.797857076	0.040605345	0.492281562	0.28886229	0.637243018	0.215034337	0.722947322	0.053456215	0.907145412	0.35037957	0.538241752	0.319263925	0.525374728	0.21358433	0.46227667	0.220319379
xylose	0.26352052	0.942575923	0.988423759	0.753075383	0.869738647	0.883059393	0.114105147	0.885474184	0.54609541	0.414444438	0.026683794	0.284081855	0.749789044	0.637771089	0.981843795	0.153670184	0.802832258	0.631145816	0.181149136	0.333006174	0.559257764	0.491738614	0.708325987	0.018029116	0.654235834	0.590666317	0.194882513	0.399745469	0.467271968	0.06292479	0.08943975	0.334496999	0.529739529	0.260752517
xylonic acid isomer	0.215879443	0.818752195	0.990063306	0.161058368	0.664120762	0.906621962	0.426597477	0.505981663	0.240523164	0.819625729	0.639061992	0.019496628	0.778408645	0.174013694	0.499871465	0.259420245	0.332042252	0.07225088	0.861875632	0.783765179	0.738158546	0.051681875	0.324122245	0.051280167	0.545693409	0.961003127	0.750789951	0.348166105	0.40906945	0.156716222	0.986635382	0.262447295	0.501521514	0.260489472
xylitol	0.814315932	0.529301214	0.198827546	0.613641888	0.580764507	0.287300708	0.774655344	0.157529493	0.618651613	0.668744191	0.708744485	0.135772717	0.865192256	0.200409791	0.848062591	0.285140628	0.126522047	0.79838088	0.429144251	0.641001662	0.9160487	0.672768096	0.384828244	0.163733752	0.313000745	0.92751138	0.05061115	0.308641063	0.158629668	0.091926624	0.137222722	0.230323954	0.421767949	0.42613246
valine	0.259578332	0.059606018	0.022877696	0.074317422	0.039327767	0.352005366	0.752577197	0.403352858	0.24804868	0.636467316	0.72293114	0.400086908	0.591751939	0.806807175	0.154469671	0.092851812	0.968932546	0.849495596	0.582805872	0.950094208	0.82324416	0.474994146	0.865497101	0.66593146	0.760898301	0.195433538	0.013495526	0.304782179	0.945686782	0.986724829	0.134241638	0.584127937	0.621883843	0.184467415
uric acid	0.710217089	0.633512746	0.04368992	0.99808341	0.786425237	0.957290713	0.657421579	0.567053705	0.247838205	0.846441623	0.003165387	0.89078735	0.676400097	0.67906538	0.41700288	0.106143974	0.662703221	0.442499641	0.206791838	0.823211814	0.819418398	0.147779495	0.986526529	0.755439358	0.946864392	0.771909513	0.39969164	0.074561407	0.44525885	0.804695688	0.212885736	0.971778087	0.746255299	0.849149645
urea	0.543536396	0.64248393	0.730906899	0.120112292	0.853488584	0.493183762	0.951596979	0.581468806	0.164308123	0.772730898	0.765461679	0.358624828	0.535863677	0.922578732	0.987005476	0.299794997	0.833704228	0.525494462	0.440147112	0.56673689	0.813282411	0.144462693	0.353096042	0.918996867	0.3635788	0.307800921	0.823261591	0.001751549	0.990127521	0.156966283	0.743763624	0.129587949	0.983910296	0.541354642
uracil	0.635863607	0.613166957	0.076396198	0.954930564	0.855238002	0.861646381	0.078298979	0.558486852	0.131628456	0.322594782	0.221319296	0.838912461	0.346288722	0.720009144	0.383401171	0.066295075	0.501687158	0.908665779	0.059432552	0.900360864	0.013667364	0.535291883	0.255016433	0.005649655	0.412505564	0.636728815	0.854868018	0.314787774	0.660710667	0.866666153	0.179953995	0.324747411	0.381810812	0.006830827
